user_id,total_actions,avg_speed,speed_variance,max_burst_speed,total_distance,anomaly_label,risk_score
-2.416201413457871e+18,556,4532.057979761894,73693218.28893036,166071.3701996825,72475.57606342029,-1,-0.0656924574320682
-2.416201404712523e+18,468,4046.44876568188,19593576.3124153,37861.657270772674,68823.21267560408,1,0.14611741871085454
-2.4162014114729887e+18,527,3939.1942441380343,15778607.940267064,34867.57231943892,76770.26685431997,1,0.1512977402486841
-2.416201407993882e+18,429,3921.3009499662935,22953304.25151912,30772.37032648288,51983.893372894425,1,0.11296182278914468
-2.416201404510034e+18,400,3656.4414096031246,95307400.14890558,159812.3900077838,46435.595629906216,-1,-0.04191074098658232
-2.4162014095613937e+18,486,3517.5769230830206,18723246.846434698,45106.60191515406,61465.0404368855,1,0.1563303427639623
-2.4162014041159337e+18,554,3466.5556911072185,22962055.053897075,79993.11449086621,82287.77705428937,1,0.12056511178276297
-2.416201408805716e+18,526,3198.4378441357085,54696604.31221773,144632.4990795637,64878.935070821375,1,0.05403256807080958
-2.4162014119927373e+18,494,3146.5735116118144,39101855.66952663,89175.23323334916,70834.55133154278,1,0.09850793240320505
-2.416201413375524e+18,746,3127.267761746039,25547893.29007814,63208.23720054214,82507.06737588321,1,0.12710139655889685
-2.416201409993148e+18,656,2673.0990745886083,55576061.77785896,109171.88282703565,62167.69248491812,1,0.046941506916095
-2.4162014111268925e+18,605,2643.654730884404,13782526.62003141,28440.95186490752,74002.0562047064,1,0.16836690480563293
-2.416201409659187e+18,492,2549.611522810232,11767978.25307732,29423.36628524269,66402.8379205565,1,0.1814517751891599
0.0,3906,2450.780275551868,15787814.535201203,93300.58949438635,450900.4718964588,1,0.10799720084752396
-2.416201403891402e+18,725,2438.4225296873874,16412700.220904851,59165.023451360175,72053.66636186303,1,0.1627143195724332
-2.416201405359756e+18,725,2319.129353529823,11252970.150816124,44472.52034593957,75505.01597198739,1,0.1727037242230937
-2.41620141076533e+18,584,2251.0496387462103,7100226.54120378,20544.128710894405,77928.25371014346,1,0.148165586036218
-2.41620141062084e+18,541,1996.7564744648332,7751668.427060684,24179.561366088656,68411.70437336586,1,0.16216580095694794
-2.4162014045290685e+18,411,1860.6202276121,6221269.628283247,13380.061369869692,51753.275821460535,1,0.09657213042152318
-2.4162014088151977e+18,601,1816.635416697141,10168979.476609278,58483.23181785239,56218.77939979388,1,0.13034146019135
-2.416201409446085e+18,553,1188.65959594252,3254825.466239197,18984.574330229265,48839.61831529343,1,0.0
